n,n_a,err(s_k) R,err(s_k) NR,err(l_k) R,err(l_k) NR,err(y) R,err(y) NR
4,1,14.543181761194782,210.1757848785365,4.178785374254384,8.77511547277622,0.05999141363149767,0.750790192030883
5,1,14.615803767686284,171.09242868798717,4.215728455125615,7.882908488929752,0.05447355865863168,0.598844772173909
6,1,14.883096050395157,145.1911860564096,4.226903268765061,7.279161692388692,0.051328722573922216,0.5071943512044131
6,2,15.503643177570257,275.864908197054,4.347192769110903,10.412406805792095,0.054973524152172104,0.9815084935203398
7,2,15.234521498178486,238.35224395574855,4.285971937091224,9.47919068322017,0.051435430597317075,0.8525482551226979
